epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,593.563,0.33026,0.7364,1.02326,0.8436,0.92535,0.93997,0.9168,0.29777,0.40482,0.5955,0.000160938,0.000160938,0.000160938
77,601.311,0.33896,0.77256,1.03003,0.86532,0.89791,0.93732,0.91904,0.28105,0.41849,0.58138,0.00015475,0.00015475,0.00015475
78,608.988,0.32009,0.75851,1.01911,0.86047,0.92926,0.94107,0.93623,0.2399,0.39061,0.53492,0.000148563,0.000148563,0.000148563
79,616.806,0.32165,0.72021,1.02017,0.85132,0.93096,0.94385,0.93008,0.23997,0.37241,0.53595,0.000142375,0.000142375,0.000142375
80,624.481,0.3304,0.73918,1.02314,0.85168,0.91686,0.94275,0.9256,0.27548,0.38963,0.57961,0.000136187,0.000136187,0.000136187
81,632.141,0.32304,0.72382,1.02187,0.84897,0.92006,0.9378,0.92218,0.2762,0.39015,0.56987,0.00013,0.00013,0.00013
82,639.834,0.32922,0.75421,1.02893,0.8588,0.9175,0.94144,0.93241,0.2513,0.38876,0.5516,0.000123812,0.000123812,0.000123812
83,647.604,0.32578,0.72016,1.01767,0.82502,0.95787,0.94286,0.91595,0.30889,0.38228,0.60366,0.000117625,0.000117625,0.000117625
84,655.313,0.31385,0.7054,1.00646,0.82483,0.9446,0.93281,0.92403,0.23462,0.38375,0.54422,0.000111438,0.000111438,0.000111438
85,663.004,0.29779,0.68568,1.00062,0.8122,0.95335,0.935,0.92755,0.23959,0.37664,0.54652,0.00010525,0.00010525,0.00010525
86,670.826,0.31414,0.70628,1.01287,0.84988,0.90748,0.94196,0.93894,0.19679,0.37128,0.50096,9.90625e-05,9.90625e-05,9.90625e-05
87,678.606,0.32072,0.70496,1.02384,0.83597,0.92804,0.94156,0.93406,0.21953,0.38737,0.5276,9.2875e-05,9.2875e-05,9.2875e-05
88,686.283,0.31438,0.69628,1.01692,0.8592,0.90402,0.94068,0.93227,0.23688,0.38575,0.53465,8.66875e-05,8.66875e-05,8.66875e-05
89,693.97,0.31156,0.70068,1.00691,0.85557,0.90853,0.93761,0.93158,0.2536,0.38668,0.54181,8.05e-05,8.05e-05,8.05e-05
90,701.692,0.30337,0.64035,1.00474,0.82968,0.92074,0.93921,0.93525,0.21706,0.37151,0.50817,7.43125e-05,7.43125e-05,7.43125e-05
91,710.148,0.17311,0.42309,0.93212,0.83454,0.94644,0.94539,0.93041,0.23677,0.4036,0.52423,6.8125e-05,6.8125e-05,6.8125e-05
92,717.806,0.15359,0.32635,0.91223,0.83311,0.92795,0.94306,0.93669,0.19004,0.37133,0.49351,6.19375e-05,6.19375e-05,6.19375e-05
93,725.449,0.14771,0.31014,0.91326,0.82802,0.94567,0.94499,0.94193,0.17294,0.35204,0.47754,5.575e-05,5.575e-05,5.575e-05
94,733.129,0.13752,0.31406,0.91361,0.82973,0.94873,0.94204,0.93574,0.20864,0.36071,0.51347,4.95625e-05,4.95625e-05,4.95625e-05
95,740.809,0.13773,0.29927,0.91565,0.81611,0.94109,0.944,0.93945,0.20094,0.36497,0.4989,4.3375e-05,4.3375e-05,4.3375e-05
96,748.44,0.13084,0.27713,0.90568,0.83173,0.93511,0.94017,0.93795,0.19957,0.366,0.49393,3.71875e-05,3.71875e-05,3.71875e-05
97,756.085,0.12858,0.27106,0.90246,0.81546,0.95019,0.93828,0.9363,0.19676,0.37635,0.49356,3.1e-05,3.1e-05,3.1e-05
98,763.86,0.12607,0.26549,0.90377,0.81821,0.94883,0.93506,0.93358,0.19313,0.37596,0.48899,2.48125e-05,2.48125e-05,2.48125e-05
99,771.572,0.12154,0.28522,0.90339,0.8213,0.94803,0.93649,0.93553,0.18552,0.37321,0.48209,1.8625e-05,1.8625e-05,1.8625e-05
100,779.219,0.12458,0.25204,0.89242,0.82003,0.94883,0.93755,0.93671,0.17257,0.36968,0.47365,1.24375e-05,1.24375e-05,1.24375e-05
